文本;群体情绪;时间
WOW, thank you SO much for your donations. This is epic. I promise I will be reporting from the trip when we go (aiming for January at this stage). Stephen is very entertaining so we will re-pay you in laughs and good feels!;4.0865132178142207e-05;2024-06-18T23:42:00
Done ✔️ ✈️ 🏀;0.02115661090480823;------
Omg Stephen from Dunedin 💞;0.02115661090480823;2024-06-18T23:00:00
Oh I remember Stephen from Dunedin!;0.006267225108935895;------
"He does such great work at the Edgar Centre so our kids can play sport. If all Dunedin families that utilise this facility gave even a $1 he would be there!!!
Good stuff Jay-Jay Feeney we will ensure the goal is met! 💛💙";0.00016077508252895783;2024-06-18T23:00:00
"Omg Jay-Jay Feeney what a kind fantastic thing you & Dom are doing.
Very very kind hearted of you both";0.012731988432355772;------
Done.;0.02507452573421989;2024-06-18T23:00:00
I remember Stephen from Dunedin! Awesome you guys are doing this for him🧡;0.005203027209282993;------
"I miss hearing Stephen from Dunedin on The Edge!

Just thinking back, you guys sure did provoke and love on him simaltaneously over the years, always good banter and laughs.

Such an incredible thing to help him achieve 💕";0.0004288950341422754;2024-06-18T23:00:00
What a cool idea and nice of you guys to do that for him, looks like you are halfway there with donations that’s awesome;0.035897535609201094;------
Bless him.... I remember those days! Gosh its coming up to 20 years almost! Hope he gets his dream.;0.005480330877456485;2024-06-18T23:00:00
i love that you and Dom Harvey are going to take him! can’t wait for updates on the trip once it happens !;0.006307554129193627;------
Is he talking to Dom again these days 🤣;0.019883615751785894;2024-06-18T23:00:00
Done ✔️what an awesome thing you and Dom are doing 💖;0.01863797645123299;------
Done, I love this idea for Stephen;0.006267225108935895;2024-06-18T23:14:00
This is so incredibly kind. What a wonderful thing to do for someone.;0.001979412709394279;------
Air New Zealand would be great if air nz could help out with his flights!;0.030842473624971074;2024-06-18T23:00:00
Aww I remember him from the edge days ❤️;0.005713570525292916;------
Hi JayJay. I have shared to Dunedin News page 😊;0.004733244691608799;2024-06-18T23:44:00
Hope Stephen has an awesome Birthday trip! 🤩🥳;0.01863797645123299;------
✅;0.02507452573421989;2024-06-18T23:08:00
Oh wow you guys are so kind.;0.02115661090480823;------
Done & shared!;0.04159591802779913;2024-06-18T23:05:00
"What a beautiful thing to do
All the best";0.014178886152973483;------
Aww this is awesome to hear ❤️❤️;0.02115661090480823;2024-06-18T23:00:00
Done! Have fun 😂;0.02115661090480823;------
Love this!!! Xx;0.022450650057123083;2024-06-18T23:00:00
Beautiful;0.02507452573421989;------
Oh I love this!!;0.006866239661303914;2024-06-18T23:35:00
I love this so much ❤️;0.007512705453166952;------
"Herbal treatment is 100% guarantee for HSV cure, the reason why most people are finding it difficult to cure HSV is because they believe on medical report, drugs and medical treatment which is not helpful to cure HSV. Natural roots/herbs are the best remedy which can easily eradicate herpes forever for more information about herpes cure visit

https://
www.facebook.com
/
154125297775921";0.0001788178887699043;2024-06-18T23:00:00
Great news;0.011472803119387667;------
Hi;0.012108059273461117;2024-06-18T23:00:00
Nice;0.012108059273461117;------
🥰🥰🥰;0.012108059273461117;2024-06-18T23:00:00
Good ❤️;0.011472803119387667;------
So great;0.011472803119387667;2024-06-18T23:00:00
"Hi guys I just relocated to Texas
If you want to be friends please kindly send a request";0.00105679410882311;------
Hello guys anyone who can be a friend to me;0.007374072748646971;2024-06-18T23:00:00
❤❤❤;0.012108059273461117;------
👁👁;0.012108059273461117;2024-06-18T23:23:00
Hi;0.012108059273461117;------
Nice;0.012108059273461117;2024-06-18T23:28:00
"I got paid again, I can’t keep it to myself I promised Elvise Owen to tell all my loved ones about his platform to show appreciation for what he did for me, invest with him he’s legit and trustworthy.
👉 Elvise Owen";3.041077320291141e-05;------
"Imma do this once, sending 5 grand to the first 6 people to message me with ""LUCKY ME"" cus i feel some people are going through difficulties, Y'all stay Blessed";0.00014936314649957832;2024-06-18T23:00:00
Being a newbie wasn’t actually really easy at first, I loose multiple times due to poor management and analysis. Getting along well with Albert Perez and his services played a huge role in my growth financially much transparency. His service is top notch.;2.2226798234616512e-05;------
"It was a great pleasure for me to open my wallet this morning and see my profit of $25,000 from my small investment of $2,000 For this I will not stop telling people about you Trader Naomi Ivebeinun, you are a a good businessman Ma am. contact her on her link to succeed too.
👇👇👇👇👇👇
https://
www.facebook.com
/
Melinda7Frank?mi
bextid=ZbWKwL";4.264070501412805e-06;2024-06-18T23:51:00
You are indeed a great man to be called, I assure you that I will bring friends to invest with you because of the excellent work you did for me. I will keep sharing the good news about you Collins Rogers;9.736523673676916e-06;------
"Hi guys
Am single";0.010216165265745224;2024-06-18T23:46:00
"Emmanuel TV win today synagogue church of all nations for prayers helpline and counselling Whatsapp https://
wasap.my/
+2348159457525 or email tbjoshuascoan50
@gmail.com for your new Anointing healing morning waters,and stickers, prayers.healing
,breakthrough and counselling ,for prayers helpline and counselling Whatsapp https://
wasap.my/
+2348159457525 or email tbjoshuascoan50
@gmail.com Emmanuel TV win today";3.580840627259645e-06;------
"Things are kinda tough atm,especially this time of the month so as a way of helping out those who needs financial assistance,I’m funding first 5 people to hmu""HARD LABOR "" let's spread love and end inhumanity 🇺🇸❤️";0.01233851686517714;2024-06-18T23:50:00
"https://
youtu.be/
Sddxf6dC-pk";0.010841034622178341;------
I'm humbled and appreciate of the bonus. it a great reminder of the hard work that I've put in and will continue to put in Dennis Crawford;8.214855085195949e-05;2024-06-18T23:04:00
"I feel like there is no greater joy than having financial freedom and a life free of debts, that’s why I keep posting a comment about his mentorship and technical analysis is second to none his experience in trading is incomparable, Trading made easier following 📈📉👇👇
James Eisa";0.0002983491719876712;------
"Choice made play a better role in giving a meaningful outcome I knew the moment I gave it a trial Honestly receiving is what I never expected.Thanks
for putting an undying smile on my face.. Contact her and thank me later. Alice Katherine Fx";2.838395448540431e-06;2024-06-18T23:06:00
"The surge in Nvidia's market value is an impressive accomplishment,
driven by the strong demand for its chips.";0.003939563808331724;------
However, we should also be wary of the risk of valuation bubbles that may result from overly high stock prices. Nvidia's performance and development prospects require continued attention.;0.008681766778418013;2024-06-18T23:00:00
Okay.;0.012108059273461117;------
"You deserve to live your best life. Check out this inspirational quote book on Amazon. It’s a life changer! Get yours today and start living life to the fullest. A Happy Mind Produces a Happy Life!
https://
www.amazon.com/
dp/B0CL6PYMPV";0.000340531152257881;2024-06-18T23:00:00
app;0.012108059273461117;------
"NVIDIA 3.34 trillion
Microsoft 3.32
Apple 3.27";0.0014192107877757348;2024-06-18T22:00:00
Check the CEO’s video who is honest;0.0026915197700596296;------
Enjoyed meeting the teams tonight. Looking forward to the upcoming season. We’ve been ticket holders for more than 30 years!;0.000773294116433981;2024-06-18T22:00:00
Loved the event tonight and talking to the players and Coaches.;0.0017798427962438458;------
Sorry we missed it! GO RAIDERS!;0.0018987957384588065;2024-06-18T22:00:00
Thoroughly enjoyed the WSU “Meet and Greet” tonight! Kudos to new AD Jo Lynn and President Sue Edwards for encouraging this. It was great meeting and talking with coaches and players.;0.0005222090442065479;------
Nice event! Thanks;0.0006680413775937759;2024-06-18T22:00:00
Vote accordingly;0.007047974800969892;------
TO BAD THE REPUBLICANS BLOCKED THE BORDER BILL!!!!;0.004567879924357651;2024-06-18T22:00:00
Has anyone in history seen the right wing media frenzy about the FBI standard operating procedures. The FBI called Trumps lawyers and they knew Trump wasn't even there. They walked in in plain clothes and collected all the classified documents that Trump had defied a subpoena for over a year. All the Orange Menace had to do from the beginning was cooperate and return them. Now even more documents have been found, of course they'll check everywhere, look where he hid them, in his bathroom and ballroom. They wouldn't be doing their jobs if they didn't look in Melanoma's and Barons room.;1.0738289173027723e-06;------
Name one president that has came even close to solving this problem during our lifetime. Despite all the delusional claims they will fix it in media.;0.0009217741343026007;2024-06-18T22:00:00
. . and the republicans continue to ignore the border. They will have a chance again today to vote on their own border bill and they will say no again.;0.002240424142029631;------
TOO BAD YOU BLOCKED THE BORDER BILL HUH????;0.004567879924357651;2024-06-18T22:00:00
But they have been crying about Texas the whole time and little did they know. ￼😂 wait till they find out we have other border states too.;0.004852320266162967;------
Bruce Kennedy;0.006678198830688331;2024-06-18T22:00:00
"The left have weaponized the Courts and exploited the Constitution to empower the minority, weaken the middle class and disenfranchise the majority in this Country. Communist ideas are now being shoe-horned in under the guise of “climate change action”, “social justice” or a fake facade of “civil liberties”.

We are in a battle right now. It’s good vs evil now. Right vs wrong. Absurdity vs common sense. Constitutional freedoms vs Global authoritarianis
m by unelected, self-appointed elitists. National sovereignty vs globalism.
Leftwing leaders all across the world are onboard with an authoritarian WEF/WHO/UN global agenda, also known as the Great Global Reset! Unfortunately, you can’t “RESET” something that isn’t broken first. This is why they are intentionally doing everything in their power to break the western world, including BANKRUPTING the middle-class in this Country. Their stated intentions are to “reset us morally, socially, politically, economically and spiritually”. This is what is coming folks. TIME TO WAKE UP!!!!!

Increased constraints on the farming industry and food production, more engineered inflation and levels of poverty, more online censorship and digital control, more supply-chain constraints on all commodities, continued attacks on gun ownership Rights, continued massive floods of undocumented immigration, more fraudulent election interference. Citizens must prepare for mass-surveillan
ce, less individual Rights and Freedoms, increase in crime rates and social disorder. You will also see an increase in psychological ware-fare like behaviour modification tactics, social conditioning and propaganda campaigns.
“We are reaching a point where the only way of saving the planet is for the industrial civilized world to collapse. Isn’t it up to us to ensure this happens?”
-Maurice Strong. (SG-United Nations and WEF co-founder).

#1 POVERTY- Increase taxes/Increase poverty levels. Poor people are easier to control and will keep socialists in power if they are providing for them.
#2 DEBT- Continually Increase debt to unsustainable levels. This produces more poverty, destroying businesses, bankrupting individuals and will inevitably remove private property rights for the vast majority of citizens eventually.
#3 WELFARE- Take control of all aspects of a person’s life, forcing them to be accountable to government. (Food, housing, income...etc)
#4 FOOD- Take control of food production, farming industry, food distribution. Hungry people are easy to control.
#5 HEALTH CARE- A federally controlled healthcare directive helps to promote and encourage a social state. Control healthcare and you control the people.
#6 EDUCATION- Brainwash children by indoctrinating them with leftist ideas at our expense, inside our own tax-funded school systems.
#7 MEDIA- Control all aspects of information. Weaponize the news media to control what information people receive. Bought-out media and government sponsored propaganda campaigns can be used as psychological warfare. (Subversion/
social conditioning/
behaviour modification).
#8 RELIGION- Remove the belief and concept of God from public schools and government institutions. Force people to be accountable to government, NOT God. Destroy traditional values by attacking the family unit, social norms and Biblical principle’s. Encourage promiscuity and sexual perversion. Promote social causes that are in direct conflict to Christian/
western beliefs and values.
#9 CLASS WARFARE- Divide people into three basic groups based on gender/sexual orientation, race and financial class (wealthy vs poor). Increase contempt for the middle-class and wealthy with the support from the poor. Separate people into groups to promote discord and disunity to gain support from the majority of the poor to over-tax the rich and destroy capitalism.
#10 GUN CONTROL- Remove the ability for citizens to defend themselves against an ever-increasing
authoritarian government. Create a police state!";0.0;------
Bidens army.;0.006678198830688331;2024-06-18T22:00:00
Yeah that's the Republicans fault;0.006310452989029173;------
Just great. Election day is not soon enough.;0.0025323332199130508;2024-06-18T22:00:00
Bruce Kennedy;0.006678198830688331;------
Infiltration;0.007047974800969892;2024-06-18T22:00:00
"Top fan
Robert Crutcher";0.005946723065135268;------
David Roy;0.006678198830688331;2024-06-18T22:00:00
#BidenBuiltThat;0.007047974800969892;------
This is insane.;0.0016063414986093134;2024-06-18T22:00:00
You think he is the saviour 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣;0.006310452989029173;------
God bless Texas;0.006310452989029173;2024-06-18T22:00:00
Republicans refuse to act!;0.006310452989029173;------
Get Those Planes Lined Up President Trump..Almost Time to Start DEPORTING These Invading Criminals !! 🇺🇸 MAGA NOVEMBER 🇺🇸;0.0011407349538220877;2024-06-18T22:00:00
Lorenzo Alice 🇱🇷🕊Thank-you;0.006310452989029173;------
Send all of them people to Bidens house, and let Biden take care of them for he is the one who invited them to come.;0.004567879924357651;2024-06-18T22:00:00
"So Biden has it set up now with China etc,
For their Border Crossers , Somebody needs to kick him out .";0.0039446312964605814;------
